YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN,WD10M
1985,7,12,29.86,22.3,25.6,86.06,0.43,1.65,1.05,158.19
1985,7,13,33.17,22.98,26.41,81.12,0.74,1.47,0.59,209.12
1985,7,14,29.83,23.31,26.08,81.38,0.25,1.55,0.45,209.19
1985,7,15,29.95,23.27,26.49,79.06,1.74,1.23,0.65,160.44
1985,7,16,31.71,23.71,26.8,78.75,0.31,1.52,0.16,185.12
1985,7,17,28.74,23.73,25.73,86.44,3.06,1.77,0.95,224.94
1985,7,18,26.49,22.77,24.37,91.88,6.07,1.79,0.79,200.12
1985,7,19,30.76,22.07,25.72,79.25,5.98,1.58,0.56,204.38
1985,7,20,33.2,23.08,26.82,79.75,10.16,1.49,0.07,210.94
1985,7,21,29.15,22.76,25.54,86.75,4.45,1.27,0.22,194
1985,7,22,29.75,22.98,25.32,87.19,5.1,1.34,0.04,270.31
1985,7,23,32.87,22.04,26.53,77.31,4.18,1.36,0.31,273.56
1985,7,24,31.1,22.22,26.25,79.56,0.16,1.29,0.48,247.25
1985,7,25,28.47,23.05,25.57,84.81,0.56,1.79,0.53,192.69
1985,7,26,28.94,22.23,25.08,87.69,1.12,1.58,0.65,157.62
1985,7,27,29.68,23.03,25.73,84.69,8.53,1.69,0.52,208.75
1985,7,28,29.37,22.92,25.51,84.94,1.91,1.58,1.06,225.62
1985,7,29,30.93,22.09,26.03,80.12,0.38,1.62,0.8,242.44
1985,7,30,29.65,22.87,25.92,82.44,0.32,1.84,1,194.56
1985,7,31,29.83,22.99,25.98,83.5,0.37,1.62,0.95,174.38
1985,8,1,30.98,22.5,25.99,83.94,0.43,1.83,0.99,158.62
1985,8,2,31.63,22.49,26.62,76.75,0.54,1.68,0.29,198.69
1985,8,3,30.43,22.88,26.03,83.38,0.02,2.07,0.95,187.31
1985,8,4,30.01,23.17,25.86,84.62,0.38,2.06,1.02,192.94
1985,8,5,29.4,23.04,25.61,83.94,0.1,1.83,0.41,184.56
1985,8,6,29.02,23.08,25.52,85.06,1.67,1.45,0.27,172.25
1985,8,7,30.12,22.48,25.65,84.69,0.2,2.18,1.15,183
1985,8,8,29.01,22.87,25.33,87.56,15.86,2.23,1.12,186.56
1985,8,9,28.73,22.65,24.96,88.38,16.28,2.65,1.05,188.69
1985,8,10,28.9,22.58,25.23,87.56,2.95,2.52,1.09,177.12
1985,8,11,30.42,22.58,25.67,85.25,0.48,2.49,1.21,163.94
1985,8,12,30.19,22.73,25.7,83.56,0.01,2.36,1.12,162.38
1985,8,13,28.22,23.07,25.18,87.5,0.21,2.36,1.17,167.94
1985,8,14,29.25,22.76,25.26,88.19,2.92,1.84,0.92,177.75
1985,8,15,30.34,22.97,25.69,86.94,2.88,1.88,1.09,180.5
1985,8,16,29.07,22.94,25.39,88,7.69,1.83,1.17,180.75
1985,8,17,29.55,22.83,25.58,87.5,2.51,1.66,1.01,176.38
1985,8,18,29.15,22.83,25.38,88.5,12.35,2.02,1.16,168
1985,8,19,29.36,23.08,25.53,86.31,6.67,2.18,1.11,206.19
1985,8,20,28.59,22.59,25.23,88.56,2.11,2.13,1.08,176.06
1985,8,21,28.41,22.83,25.18,88.88,2.63,2.42,1,174.81
1985,8,22,29.69,22.76,25.51,86.88,13.95,2.12,1.18,177.81
1985,8,23,30.31,22.48,25.66,86.62,6.24,2.57,0.7,171.12
1985,8,24,30.46,23.2,26.01,85.5,5.45,1.87,0.7,167.94
1985,8,25,29.05,22.69,25.23,87.62,0.67,2.04,1.02,159.81
1985,8,26,30.24,22.56,25.85,84.81,3.72,2.07,1.03,157.44
1985,8,27,31.07,22.41,25.91,83.94,1.14,2.29,1.18,160.31
1985,8,28,31.62,21.99,26.32,82.25,0.01,1.86,1.18,165.62
1985,8,29,29.26,22.85,25.64,86.81,1.52,1.91,0.98,155.5
1985,8,30,31.55,23.26,26.67,81.06,1.73,1.74,0.91,188.81
1985,8,31,26.86,22.81,24.69,91.94,16.93,1.97,0.87,235.94
1985,9,1,31.79,21.89,26.25,79,0.5,1.53,0.82,238.5
1985,9,2,31.19,22.49,25.97,80.88,1.66,1.84,1.24,172.81
1985,9,3,30.62,21.92,25.49,84.88,4.19,2.08,1.1,153.94
1985,9,4,27.69,22.69,25.26,84.25,6.9,2.72,0.38,190.19
1985,9,5,30.08,21.79,25.65,81.69,4.97,2.64,0.74,192.12
1985,9,6,30.61,22.08,25.8,84.81,0.34,2.46,1.12,158.12
1985,9,7,30.78,22.65,26.1,84.56,1.11,2.18,1.2,163.38
1985,9,8,28.59,23.23,25.35,87.25,0.96,2.01,0.48,178.12
1985,9,9,28.31,22.35,25.04,87.06,0.17,1.62,0.89,183.81
1985,9,10,29.98,22.65,25.63,85.81,1.16,1.77,1.05,184.25
1985,9,11,33.1,23.12,26.6,83.75,33.46,1.3,0.3,194.25
1985,9,12,29.7,22.3,25.39,85.75,3.79,1.86,1.02,261.81
1985,9,13,31.26,22.16,25.98,83.56,3.61,2,0.94,280.38
1985,9,14,30.3,22.75,25.94,84.5,10.3,1.58,0.87,250.25
1985,9,15,30.24,22.9,25.97,83.69,16.22,1.96,0.76,232.5
1985,9,16,28.44,23.56,25.53,86.62,12.97,2.26,0.42,236.94
1985,9,17,29.63,23.37,25.98,85.88,16.59,2.12,0.44,228.81
1985,9,18,29.63,23.41,25.85,85.69,7.97,1.81,1.04,229.81
1985,9,19,29.76,23,25.77,83.25,0.29,1.73,1.05,210.94
1985,9,20,28.9,22.7,25.46,87.38,26.95,2.29,1.05,174.69
